tax_class|zip_code|sale_price|year_of_sale
2A|11221|920807820|2008
1|11230|1957593234|2009
1B|11218|1199933331|2009
2B|11215|65362311|2009
2A|11238|958076316|2009
1|11236|1011120100|2008
1B|11204|177294579|2009
""|11230|295716726|0
1B|11230|794098160|2009
2C|11201|252394229|2009
1|11235|1694308186|2009
1|11213|570653705|2009
2B|11209|47972320|2008
1|11205|20886308|2009
1|11211|170539849|2009
""|11221|38079358|0
""|0|436072732|0
1A|11236|241183739|2007
2A|11219|71732104|2009
2C|11217|402568386|2010
2A|11208|43655000|2008
1|11238|4706896939|2009
2A|11231|363379226|2009
1B|11208|142074445|2009
1B|11217|2596813397|2011
2A|11218|2103501541|2009
1A|11213|18506976|2013
2A|11215|47158048|2009
2A|11205|590189168|2009
1B|11238|1798104608|2009
2A|11233|83582751|2008
2B|11249|1971722464|2014
1|11234|852243692|2009
2A|11222|436078158|2009
""|11228|75127538|0
""|11217|337952224|0
""|11223|2350809203|0
2B|11231|2320845768|2009
1|11229|182768640|2009
1|11220|30847561|2009
1B|11216|182527964|2010
1B|11206|19668061|2010
""|11204|2371378955|0
